artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
der,anzug,anzuege,suit,kleider,,
der,badeanzug,badeanzuege,swimsuit,kleider,,
der,jogginganzug,jogginganzuege,jogging suit,kleider,,
der,skianzug,skianzuege,skiing suit,kleider,,
der,pullover,pullovern,sweater,kleider,,
der,ring,ringe,ring,kleider,,
der,schirm,schirme,umbrella,kleider,,
der,ohrring,ohrringe,earing,kleider,,
der,schmuck,-,jewelry,kleider,,
der,shuh,shuhe,shoe,kleider,,
der,guertel,-,belt,kleider,transport,
der,mantel,maentel,coat,kleider,,
der,rock,roecke,skirt,kleider,,
der,stiefel,-,boot,kleider,,
das,t-shirt,t-shirts,t-shirt,kleider,,
das,top,tops,top,kleider,,
das,hemd,hemden,shirt,kleider,,
die,joggingshuhe,/,jogging shoe,kleider,,
die,kleider,/,clothes,kleider,,
die,regenkleidung,regenkleidungen,raining clothes,kleider,,
die,shuhe,/,shoes,kleider,,
die,trekkingshuhe,/,trekking shoes,kleider,,
die,bluse,blusen,blouse,kleider,,
die,hose,hosen,pants,kleider,,
die,boxershorts,/,boxershorts,kleider,,
die,kette,ketten,necklace,kleider,,
die,klamotten,/,clothes(k-),kleider,,
das,abendkleid,abdenkleider,night gown,kleider,,
das,accessorie,accessories,accessorie,kleider,,
die,sonnenbrille,sonnenbrillen,sunglasses,kleider,,
die,baby waesche,/,baby clothes,kleider,,
die,krawatte,krawatten,tie(clothes),kleider,,
die,kosmetik,/,make up,kleider,,
die,jeans,/,jeans,kleider,,
die,damenkleidung,/,women clothes,kleider,,
die,kinderkleidung,/,kinder clother,kleider,,
die,herrenkleidung,/,men clothes,kleider,,
die,designer mode,/,designer clothes,kleider,,
die,groesse,groessen,size,kleider,,
die,mode,moden,fashion,kleider,,
der,anzug,anzuege,suit,kleider,,
