artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
das,ausland,/,foreign countries,land,,
das,land,laender,country,land,,
das,traumland,traumlaender,dreamland,land,,
das,ausland,/,foreign countries,land,,
das,land,laender,country,land,,
das,traumland,traumlaender,dreamland,land,,
das,ausland,/,foreign countries,land,,
das,land,laender,country,land,,
das,traumland,traumlaender,dreamland,land,,
das,ausland,/,foreign countries,land,,
das,land,laender,country,land,,
das,traumland,traumlaender,dreamland,land,,
